epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.715,1.89886,2.40566,1.69476,0.30212,0.23737,0.19211,0.07151,2.48814,2.40979,2.05893,0.000665567,0.000665567,0.000665567
2,249.232,1.91345,1.93895,1.71644,0.3051,0.23091,0.17214,0.06389,2.51925,2.337,2.06359,0.00130586,0.00130586,0.00130586
3,356.113,1.88287,1.84764,1.69434,0.36296,0.2836,0.25582,0.10392,2.35403,2.06193,1.93237,0.00191974,0.00191974,0.00191974
4,461.713,1.83893,1.76492,1.65265,0.4006,0.32688,0.28438,0.10508,2.36574,1.82164,1.9259,0.0018812,0.0018812,0.0018812
5,547.94,1.80095,1.6859,1.62499,0.42781,0.30968,0.2898,0.12211,2.22695,1.83142,1.82961,0.0018416,0.0018416,0.0018416
6,635.349,1.75593,1.6446,1.60288,0.45815,0.32093,0.32476,0.15002,2.11499,1.7594,1.68912,0.001802,0.001802,0.001802
7,718.743,1.713,1.57744,1.56731,0.4935,0.34389,0.34663,0.14861,2.20149,1.71676,1.70107,0.0017624,0.0017624,0.0017624
8,812.828,1.69409,1.52634,1.55701,0.45982,0.32715,0.31634,0.13262,2.28998,1.88632,1.8796,0.0017228,0.0017228,0.0017228
9,896.624,1.68147,1.51146,1.54146,0.51812,0.35242,0.36703,0.16023,2.19338,1.67151,1.75336,0.0016832,0.0016832,0.0016832
10,980.359,1.67396,1.48048,1.52456,0.44766,0.39059,0.37065,0.1667,2.10469,1.65182,1.66216,0.0016436,0.0016436,0.0016436
11,1063.74,1.64688,1.47417,1.50956,0.50944,0.38468,0.40071,0.18369,2.07818,1.62241,1.59006,0.001604,0.001604,0.001604
12,1147.31,1.6355,1.4365,1.503,0.48203,0.36425,0.36726,0.1808,1.99409,1.64856,1.60818,0.0015644,0.0015644,0.0015644
13,1237.76,1.61227,1.40788,1.48768,0.54115,0.39113,0.40697,0.19417,2.03904,1.56493,1.59756,0.0015248,0.0015248,0.0015248
14,1342.17,1.60689,1.39193,1.47933,0.56277,0.38468,0.40527,0.20469,2.01679,1.53256,1.58854,0.0014852,0.0014852,0.0014852
15,1428.23,1.59558,1.3728,1.46781,0.51203,0.42312,0.40354,0.20418,1.95718,1.54388,1.5314,0.0014456,0.0014456,0.0014456
16,1512.21,1.58341,1.37218,1.46735,0.50592,0.38817,0.40076,0.20345,1.99885,1.55419,1.54219,0.001406,0.001406,0.001406
17,1595.15,1.55997,1.34314,1.46604,0.49392,0.41613,0.40107,0.20635,1.96447,1.56124,1.55222,0.0013664,0.0013664,0.0013664
18,1678.87,1.56885,1.32356,1.44479,0.53409,0.40699,0.424,0.20438,2.04805,1.52212,1.55774,0.0013268,0.0013268,0.0013268
19,1762.12,1.56156,1.32465,1.43371,0.55048,0.44462,0.4377,0.21147,2.00907,1.49861,1.53417,0.0012872,0.0012872,0.0012872
20,1985.11,1.53872,1.28864,1.43432,0.54916,0.41684,0.42925,0.20869,1.95853,1.46684,1.55557,0.0012476,0.0012476,0.0012476
21,2096.36,1.52483,1.2791,1.42312,0.54202,0.44063,0.44174,0.2308,1.93323,1.44904,1.53012,0.001208,0.001208,0.001208
22,2180.2,1.53189,1.27343,1.42431,0.51905,0.45699,0.42644,0.22124,1.96274,1.48083,1.5143,0.0011684,0.0011684,0.0011684
23,2264.1,1.52569,1.27208,1.41661,0.53837,0.44543,0.43782,0.21263,1.99685,1.43696,1.55118,0.0011288,0.0011288,0.0011288
24,2347.72,1.50704,1.24991,1.409,0.548,0.43091,0.44701,0.23156,1.89702,1.41161,1.50809,0.0010892,0.0010892,0.0010892
25,2431.68,1.50722,1.2505,1.41619,0.54831,0.46697,0.44845,0.23871,1.91401,1.42097,1.50784,0.0010496,0.0010496,0.0010496
26,2515.39,1.49754,1.22391,1.40713,0.54057,0.43898,0.43399,0.22439,1.94503,1.49719,1.51354,0.00101,0.00101,0.00101
27,2598.48,1.48673,1.21288,1.40195,0.55748,0.43922,0.44404,0.2337,1.89318,1.42692,1.50522,0.0009704,0.0009704,0.0009704
28,2681.65,1.48184,1.2227,1.39383,0.55373,0.46935,0.45674,0.24052,1.86038,1.38475,1.47023,0.0009308,0.0009308,0.0009308
29,2764.9,1.46776,1.20138,1.38442,0.55017,0.47124,0.44958,0.2363,1.91029,1.41338,1.47704,0.0008912,0.0008912,0.0008912
30,2848.78,1.48299,1.19836,1.37851,0.54843,0.46909,0.4518,0.24442,1.8795,1.37937,1.47104,0.0008516,0.0008516,0.0008516
31,2933.17,1.4608,1.18922,1.37197,0.5711,0.48441,0.46242,0.2428,1.90349,1.37062,1.48231,0.000812,0.000812,0.000812
32,3017.17,1.46068,1.19101,1.37433,0.55149,0.47151,0.46109,0.25183,1.85929,1.36106,1.45924,0.0007724,0.0007724,0.0007724
33,3101.27,1.45703,1.1737,1.36754,0.56055,0.46943,0.4612,0.24665,1.87847,1.35409,1.45611,0.0007328,0.0007328,0.0007328
34,3183.66,1.44371,1.16643,1.36947,0.54625,0.46504,0.46251,0.24853,1.8885,1.35734,1.48569,0.0006932,0.0006932,0.0006932
35,3265.84,1.4311,1.14694,1.35133,0.57273,0.46909,0.47044,0.25619,1.84638,1.33461,1.4777,0.0006536,0.0006536,0.0006536
36,3348.15,1.43605,1.14908,1.35542,0.55006,0.47634,0.46301,0.25401,1.84719,1.35673,1.4607,0.000614,0.000614,0.000614
37,3430.13,1.43421,1.13698,1.35714,0.54854,0.47258,0.46642,0.25698,1.8723,1.33871,1.47576,0.0005744,0.0005744,0.0005744
38,3511.99,1.42292,1.1261,1.3456,0.58233,0.45699,0.46713,0.2564,1.88068,1.33976,1.49599,0.0005348,0.0005348,0.0005348
39,3593.91,1.4276,1.1197,1.34431,0.54058,0.47581,0.46282,0.25363,1.86317,1.33029,1.48944,0.0004952,0.0004952,0.0004952
40,3676.17,1.41692,1.11877,1.33665,0.56132,0.48817,0.4717,0.25978,1.85356,1.32933,1.47755,0.0004556,0.0004556,0.0004556
41,3794.68,1.39893,1.03275,1.321,0.55232,0.47312,0.46206,0.24765,1.89852,1.36228,1.49813,0.000416,0.000416,0.000416
42,3877.11,1.38549,1.0116,1.31006,0.56339,0.48217,0.47358,0.26145,1.8525,1.32548,1.4639,0.0003764,0.0003764,0.0003764
43,3959.35,1.38062,1.00252,1.3071,0.56528,0.47769,0.47012,0.25682,1.87093,1.34549,1.4873,0.0003368,0.0003368,0.0003368
44,4041.84,1.37128,0.99859,1.29821,0.57875,0.47876,0.47797,0.26207,1.85145,1.32533,1.47222,0.0002972,0.0002972,0.0002972
45,4124.44,1.35692,0.98685,1.2856,0.56763,0.47957,0.46882,0.25706,1.86462,1.34837,1.48451,0.0002576,0.0002576,0.0002576
46,4206.88,1.34978,0.98026,1.28702,0.57539,0.47742,0.47448,0.25699,1.87389,1.32448,1.48007,0.000218,0.000218,0.000218
47,4289.38,1.3445,0.96147,1.27979,0.57193,0.47527,0.47696,0.25909,1.87809,1.32558,1.48817,0.0001784,0.0001784,0.0001784
48,4371.7,1.33384,0.95965,1.26933,0.57152,0.47554,0.47663,0.25917,1.88173,1.33099,1.49211,0.0001388,0.0001388,0.0001388
49,4454.39,1.32867,0.95926,1.27157,0.56995,0.47392,0.47403,0.26164,1.87089,1.32481,1.48782,9.92e-05,9.92e-05,9.92e-05
50,4536.84,1.32039,0.9455,1.26642,0.57129,0.47903,0.47652,0.2629,1.85701,1.31755,1.4791,5.96e-05,5.96e-05,5.96e-05
