epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,329.415,1.91539,2.04751,1.71448,0.43588,0.33226,0.30081,0.12344,2.27641,1.90294,1.80715,0.0099835,0.00332783,0.0099835,0.00332783,0.0099835,0.00332783,0.0099835,0.00332783
2,613.992,1.80417,1.66796,1.62036,0.3321,0.28257,0.23477,0.09822,2.20611,2.02462,1.82113,0.0197857,0.00659522,0.0197857,0.00659522,0.0197857,0.00659522,0.0197857,0.00659522
3,885.476,1.87758,1.77892,1.68098,0.40295,0.20081,0.18992,0.07489,2.40335,2.31779,1.95283,0.0293898,0.00979661,0.0293898,0.00979661,0.0293898,0.00979661,0.0293898,0.00979661
4,1152.76,1.91908,1.83727,1.717,0.37286,0.2922,0.23807,0.08996,2.33637,2.08524,1.97664,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1420.16,1.85409,1.73164,1.68543,0.39625,0.32016,0.27405,0.10988,2.33215,1.8723,2.00309,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1688.15,1.80229,1.6582,1.66054,0.47355,0.31774,0.33189,0.14461,2.20397,1.96852,1.7681,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1956.59,1.75187,1.57433,1.61543,0.45929,0.30618,0.32551,0.13492,2.16389,1.80554,1.73376,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2223.38,1.71646,1.51627,1.59167,0.4397,0.38575,0.36575,0.16147,2.09451,1.65155,1.70121,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2490.36,1.70158,1.48657,1.56966,0.51751,0.33683,0.35962,0.1597,2.13258,1.63854,1.72759,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2759.28,1.68334,1.45174,1.5517,0.50621,0.36559,0.38291,0.16966,2.11834,1.58587,1.69076,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3027.02,1.6542,1.43093,1.53778,0.52065,0.35296,0.39255,0.1901,2.07998,1.62917,1.58121,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3294.42,1.64002,1.41393,1.52542,0.50966,0.37527,0.3941,0.18822,1.98262,1.53485,1.60632,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3561.2,1.61713,1.37608,1.51263,0.54159,0.39096,0.40826,0.19892,2.00038,1.50685,1.62591,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3828.38,1.61088,1.35366,1.50455,0.5646,0.35975,0.40846,0.18988,2.04646,1.49578,1.67667,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4095.67,1.59345,1.33398,1.49042,0.51974,0.43602,0.42354,0.20177,1.99946,1.50394,1.59772,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4363.61,1.58338,1.32078,1.47763,0.55162,0.39892,0.43437,0.22403,1.96776,1.46324,1.52174,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4630.71,1.55447,1.29566,1.47457,0.5262,0.40242,0.41675,0.20926,1.98084,1.49721,1.58721,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4897.82,1.56567,1.28079,1.46338,0.5421,0.45161,0.45188,0.20924,2.0725,1.47815,1.63318,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5164.75,1.55911,1.28789,1.45221,0.54938,0.4422,0.4394,0.2264,1.94123,1.4531,1.52314,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5431.09,1.53559,1.25386,1.44606,0.53772,0.40753,0.42911,0.20723,1.98788,1.45784,1.58177,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5697.72,1.52282,1.23503,1.43822,0.52893,0.43763,0.43988,0.22817,1.94124,1.42521,1.54264,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5963.93,1.52878,1.23046,1.43471,0.56577,0.43921,0.4464,0.2315,1.97904,1.41842,1.54444,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
